2.0289 	EXP 	Studyslider: markerPos = 3.014388489208633
2.0362 	EXP 	Studyslider: markerPos = 3.014388489208633
2.0456 	EXP 	Studyslider: markerPos = 3.014388489208633
2.0484 	DATA 	Mouse:  Left button up, pos=(859,242)
2.0533 	EXP 	Studyslider: markerPos = 3.014388489208633
2.0620 	EXP 	Studyslider: markerPos = 3.014388489208633
2.0623 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'Study_word': 'T-shirt', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
2.0720 	EXP 	StudyText: autoDraw = False
2.0720 	EXP 	Studyslider: autoDraw = False
2.0720 	EXP 	StudyText: height = 0.05
2.0720 	EXP 	StudyText: height = 0.05
2.0720 	EXP 	StudyText: height = 0.05
2.0720 	EXP 	StudyText: text = 'T-shirt'
2.0720 	EXP 	Studyslider: markerPos = None
2.0720 	EXP 	Studyslider: markerPos = None
2.0720 	EXP 	StudyText: autoDraw = True
2.0720 	EXP 	Studyslider: autoDraw = True
3.1148 	DATA 	Mouse: Left button down, pos=(582,240)
3.1287 	EXP 	Studyslider: markerPos = 2.0179856115107913
3.1361 	EXP 	Studyslider: markerPos = 2.0179856115107913
3.1459 	EXP 	Studyslider: markerPos = 2.0179856115107913
3.1533 	EXP 	Studyslider: markerPos = 2.0179856115107913
3.1620 	EXP 	Studyslider: markerPos = 2.0179856115107913
3.1695 	EXP 	Studyslider: markerPos = 2.0179856115107913
3.1785 	EXP 	Studyslider: markerPos = 2.0179856115107913
3.1859 	EXP 	Studyslider: markerPos = 2.0179856115107913
3.1956 	EXP 	Studyslider: markerPos = 2.0179856115107913
3.2031 	EXP 	Studyslider: markerPos = 2.0179856115107913
3.2119 	EXP 	Studyslider: markerPos = 2.0179856115107913
3.2192 	EXP 	Studyslider: markerPos = 2.0179856115107913
3.2286 	EXP 	Studyslider: markerPos = 2.0179856115107913
3.2360 	EXP 	Studyslider: markerPos = 2.0179856115107913
3.2453 	EXP 	Studyslider: markerPos = 2.0179856115107913
3.2483 	DATA 	Mouse:  Left button up, pos=(582,240)
3.2532 	EXP 	Studyslider: markerPos = 2.0179856115107913
3.2622 	EXP 	Studyslider: markerPos = 2.0179856115107913
3.2625 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'Study_word': 'marble', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
3.2715 	EXP 	StudyText: autoDraw = False
3.2715 	EXP 	Studyslider: autoDraw = False
3.2715 	EXP 	StudyText: height = 0.05
3.2715 	EXP 	StudyText: height = 0.05
3.2715 	EXP 	StudyText: height = 0.05
3.2715 	EXP 	StudyText: text = 'marble'
3.2715 	EXP 	Studyslider: markerPos = None
3.2715 	EXP 	Studyslider: markerPos = None
3.2715 	EXP 	StudyText: autoDraw = True
3.2715 	EXP 	Studyslider: autoDraw = True
3.7981 	DATA 	Mouse: Left button down, pos=(583,240)
3.8121 	EXP 	Studyslider: markerPos = 2.0215827338129495
3.8197 	EXP 	Studyslider: markerPos = 2.0215827338129495
3.8290 	EXP 	Studyslider: markerPos = 2.0215827338129495
3.8365 	EXP 	Studyslider: markerPos = 2.0215827338129495
3.8453 	EXP 	Studyslider: markerPos = 2.0215827338129495
3.8528 	EXP 	Studyslider: markerPos = 2.0215827338129495
3.8620 	EXP 	Studyslider: markerPos = 2.0215827338129495
3.8695 	EXP 	Studyslider: markerPos = 2.0215827338129495
3.8789 	EXP 	Studyslider: markerPos = 2.0215827338129495
3.8863 	EXP 	Studyslider: markerPos = 2.0215827338129495
3.8958 	EXP 	Studyslider: markerPos = 2.0215827338129495
3.8986 	DATA 	Mouse:  Left button up, pos=(583,240)
3.9035 	EXP 	Studyslider: markerPos = 2.0215827338129495
3.9120 	EXP 	Studyslider: markerPos = 2.0215827338129495
3.9124 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'Study_word': 'Chart', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
3.9209 	EXP 	StudyText: autoDraw = False
3.9209 	EXP 	Studyslider: autoDraw = False
3.9209 	EXP 	StudyText: height = 0.05
3.9209 	EXP 	StudyText: height = 0.05
3.9209 	EXP 	StudyText: height = 0.05
3.9209 	EXP 	StudyText: text = 'Chart'
3.9209 	EXP 	Studyslider: markerPos = None
3.9209 	EXP 	Studyslider: markerPos = None
3.9209 	EXP 	StudyText: autoDraw = True
3.9209 	EXP 	Studyslider: autoDraw = True
5.6650 	DATA 	Mouse: Left button down, pos=(299,244)
5.6787 	EXP 	Studyslider: markerPos = 1.0
5.6863 	EXP 	Studyslider: markerPos = 1.0
5.6952 	EXP 	Studyslider: markerPos = 1.0
5.7027 	EXP 	Studyslider: markerPos = 1.0
5.7122 	EXP 	Studyslider: markerPos = 1.0
5.7196 	EXP 	Studyslider: markerPos = 1.0
5.7289 	EXP 	Studyslider: markerPos = 1.0
5.7365 	EXP 	Studyslider: markerPos = 1.0
5.7452 	EXP 	Studyslider: markerPos = 1.0
5.7526 	EXP 	Studyslider: markerPos = 1.0
5.7622 	EXP 	Studyslider: markerPos = 1.0
5.7695 	EXP 	Studyslider: markerPos = 1.0
5.7786 	EXP 	Studyslider: markerPos = 1.0
5.7859 	EXP 	Studyslider: markerPos = 1.0
5.7959 	EXP 	Studyslider: markerPos = 1.0
5.8032 	EXP 	Studyslider: markerPos = 1.0
5.8122 	EXP 	Studyslider: markerPos = 1.0
5.8149 	DATA 	Mouse:  Left button up, pos=(299,244)
5.8197 	EXP 	Studyslider: markerPos = 1.0
5.8286 	EXP 	Studyslider: markerPos = 1.0
5.8290 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'Study_word': 'Police', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
5.8373 	EXP 	StudyText: autoDraw = False
5.8373 	EXP 	Studyslider: autoDraw = False
5.8373 	EXP 	StudyText: height = 0.05
5.8373 	EXP 	StudyText: height = 0.05
5.8373 	EXP 	StudyText: height = 0.05
5.8373 	EXP 	StudyText: text = 'Police'
5.8373 	EXP 	Studyslider: markerPos = None
5.8373 	EXP 	Studyslider: markerPos = None
5.8373 	EXP 	StudyText: autoDraw = True
5.8373 	EXP 	Studyslider: autoDraw = True
6.6318 	DATA 	Mouse: Left button down, pos=(299,244)
6.6453 	EXP 	Studyslider: markerPos = 1.0
6.6528 	EXP 	Studyslider: markerPos = 1.0
6.6619 	EXP 	Studyslider: markerPos = 1.0
6.6693 	EXP 	Studyslider: markerPos = 1.0
6.6789 	EXP 	Studyslider: markerPos = 1.0
6.6863 	EXP 	Studyslider: markerPos = 1.0
6.6952 	EXP 	Studyslider: markerPos = 1.0
6.7026 	EXP 	Studyslider: markerPos = 1.0
6.7122 	EXP 	Studyslider: markerPos = 1.0
6.7196 	EXP 	Studyslider: markerPos = 1.0
6.7287 	EXP 	Studyslider: markerPos = 1.0
6.7361 	EXP 	Studyslider: markerPos = 1.0
6.7453 	EXP 	Studyslider: markerPos = 1.0
6.7526 	EXP 	Studyslider: markerPos = 1.0
6.7618 	EXP 	Studyslider: markerPos = 1.0
6.7647 	DATA 	Mouse:  Left button up, pos=(299,244)
6.7695 	EXP 	Studyslider: markerPos = 1.0
